Date,Score
2022/07/22,1/3
2022/07/22,1/3
2022/07/22,0/3
2022/07/22,1/3
2022/07/22,2/5
2022/07/22,1/4
2022/07/22,0/3
2022/07/22,1/10
2022/07/22,4/4
2022/07/22,5/5
2022/08/24,0/9
2022/08/24,0/4
2022/10/12,3/4
2022/10/12,1/3
2022/10/12,0/4
2022/10/12,0/3
2022/10/12,0/3
2022/10/12,0/3
2022/10/12,0/5
2022/10/31,2/2
2022/10/31,1/3
2022/11/04,0/2
2022/11/04,0/2
2022/11/04,0/3
2022/11/04,0/2
2022/11/04,0/2
2022/12/02,2/2
2022/12/02,1/2
2022/12/02,2/2
2022/12/02,1/2
2022/12/02,1/2
2022/12/02,1/2
2022/12/02,1/2
2022/12/02,1/2
2022/12/02,2/2
2022/12/02,0/2
2022/12/05,0/3
2022/12/05,0/2
2022/12/05,0/2
2022/12/07,0/2
